Timestamp,Model_Name,Samples,Time_Seconds,Accuracy,Harmful_Precision,Harmful_Recall,Harmful_F1,Harmful_Support,Misleading_Precision,Misleading_Recall,Misleading_F1,Misleading_Support,Unverifiable_Precision,Unverifiable_Recall,Unverifiable_F1,Unverifiable_Support,Accurate_Precision,Accurate_Recall,Accurate_F1,Accurate_Support,Result_File_Path
2025-12-11 17:16:09,meta-llama/Llama-3.2-3B-Instruct,1235,606.23,0.5232,0.5242,0.5287,0.5265,348.0,0.4,0.0108,0.0211,185.0,0.0211,0.0513,0.0299,39.0,0.5949,0.7263,0.6541,548.0,run_results/results_Llama-3.2-3B-Instruct_20251211_170602.csv
20251212_132726,meta-llama/Llama-3.2-3B-Instruct + sereotubu/Llama-3.2-3B-Medical-Fact-Checker,1235,10648.36,0.6678,0.7039,0.4791,0.5701,263.0,0.2204,0.4227,0.2898,97.0,0.0,0.0,0.0,41.0,0.8129,0.8722,0.8415,493.0,run_results/finetuned_benchmark_20251212_132726.csv
