Timestamp,Model_Name,Samples,Time_Seconds,Accuracy,False_Precision,False_Recall,False_F1,False_Support,True_Precision,True_Recall,True_F1,True_Support,Result_File_Path,Prompt_Used
2025-12-16 16:15:05,meta-llama/Llama-3.2-3B-Instruct,1235,317.47,0.4672,0.5874,0.7343,0.6527,636.0,0.6471,0.1836,0.2861,599.0,run_results/results_Llama-3.2-3B-Instruct_20251216_160948.csv,You are a medical fact-checker. Classify the following claim as 'True' or 'False' only.
2025-12-16 16:28:24,Qwen/Qwen2.5-7B-Instruct,1235,485.36,0.6008,0.5771,0.8412,0.6846,636.0,0.6743,0.3456,0.457,599.0,run_results/results_Qwen2.5-7B-Instruct_20251216_162019.csv,You are a medical fact-checker. Classify the following claim as 'True' or 'False' only.
2025-12-16 17:01:27,mistralai/Mistral-7B-Instruct-v0.3,1235,627.96,0.6024,0.6832,0.7358,0.7086,636.0,0.7041,0.4608,0.557,599.0,run_results/results_Mistral-7B-Instruct-v0.3_20251216_165059.csv,You are a medical fact-checker. Classify the following claim as 'True' or 'False' only.
2025-12-16 17:20:55,meta-llama/Llama-3.1-8B-Instruct,1235,512.84,0.5765,0.6009,0.8003,0.6864,636.0,0.7,0.3389,0.4567,599.0,run_results/results_Llama-3.1-8B-Instruct_20251216_171222.csv,You are a medical fact-checker. Classify the following claim as 'True' or 'False' only.
